"raw ingredient","quantity","measure","ingredient","condition","recipe count","rating total","review count","cookieness total"
"1/2 pound butter, melted","0.5","pound","butter","melted",1,0,0,1
1/2 cup crushed graham crackers,0.5,cup,graham crackers,crushed,1,0,0,1
1/2 cup crushed vanilla wafers,0.5,cup,vanilla wafers,crushed,1,0,0,1
1/2 cup crushed chocolate graham crackers,0.5,cup,chocolate graham crackers,crushed1,0,0,1
1/2 cup shredded sweetened coconut,0.5,cup,sweetened coconut,shreadded,2,0,0,2
1/2 cup oats,0.5,cup,oats,1,0,0,1
1/2 cup peanut butter chips,0.5,cup,peanut butter chips,,4,13.6,41,4
1/2 cup butterscotch chips,0.5,cup,butterschotch chips,,4,7.7,12,4
1/2 cup chocolate chips,0.5,cup,chocolate chips,,11,28.7,703,10
1/2 cup chopped pecans,0.5,cup,pecans,chopped,20,72.9,450,19
1/2 cup chopped walnuts,0.5,cup,walnuts,chopped,14,37.9,226,12
1/2 cup chopped hazelnuts,0.5,cup,hazelnuts,chopped,2,4,1,2
"4-ounces cream cheese, softened",4,ounces,cream cheese,softened,1,0,0,1
1 (8-ounce) can sweetened condensed milk,8,ounces,sweetened condensed milk,,1,0,0,1
2 1/2 cups all-purpose flour,2.5,cups,all-purpose flour,,75,218.9,1401,69
1/2 teaspoon baking powder,0.5,teaspoon,baking powder,,143,421.3,2943,133
1/4 teaspoon fine salt,0.25,teaspoon,fine salt,,71,187.2,776,56
"1 cup (2 sticks) unsalted butter, at room temperature",1,cup,unsalted butter,room temperature,15,52.1,729,12
3/4 cup granulated sugar,0.75,cup,granulated sugar,,78,195,719,70
3/4 cup confectioners' sugar,0.75,cup,confectioners sugar,,16,37.7,255,15
2 large egg yolks,2,count,egg yolks,,19,64.1,213,15
1 teaspoon pure vanilla extract,1,teaspoon,vanilla extract,,212,547.7,5823,180
1/4 teaspoon finely grated orange zest,0.25,teaspoon,orange zest,finely grated,2,4.2,52,2
5 tablespoons meringue powder (egg white powder),5,tablesppons,egg white powder,,1,4.2,52,1
6 tablespoons water,6,tablesppons,water,,3,8.5,230,3
1 pound confectioners' sugar (about 3 3/4 to 4 cups or 1 box),1,pound,confectioners sugar,,1,4.2,52,1
1 bag 3 MUSKETEERS,1,bag,3 Musketeers Miniatures,,1,5,1,1
2 tablespoons milk,2,tablespoons,milk,,24,75.6,565,21
2 1/2 cups puffed cocoa cereal,2.5,cups,puffed cocoa ceral,,1,5,1,1
"3 tablespoons finely chopped nuts (walnuts or pecans), optional",3,tablesppons,walnuts,finely chopped,1,5,1,1
"3 tablespoons confectioner's sugar, optional",3,tablesppons,confectioners sugar,,1,5,1,1
"12 marshmallows, recipe follows, or store-bought",12,count,marshmallows,,1,4.2,5,1
"8 graham cracker squares, recipe follows",8,count,graham cracker squares,,1,4.2,5,1
"2 milk chocolate bars, the kind that can be broken into squares",2,count,milk chocolate bars,,1,4.2,5,1
4 tablespoons water,4,tablesppons,water,,2,8.6,37,2
4 tablespoons light corn syrup,4,tablesppons,light corn syrup,,1,4.2,5,1
12 tablespoons sugar,12,tablesppons,granulated sugar,,1,4.2,5,1
2 egg whites,2,count,egg whites,,17,45.4,114,16
